j5	j3	count	startpos	productsize	JS	deletion size	chorm	type	name	start	end	evtype	evrelorf	evsize	startpos_byfusion
1945	28601	17	106	9	1945 - 28601	26656						frameshift-fusion-orf	ORF1a-N	"(560.0, 563)"	
4966	23157	17	106	9	4966 - 23157	18191						frameshift-fusion-orf	ORF1a-S	"(1567.0, 1569)"	
16833	23280	17	106	9	16833 - 23280	6447						frameshift-fusion-orf	ORF1b-S	"(1122.0, 1122)"	
2504	23457	17	106	9	2504 - 23457	20953						frameshift-fusion-orf	ORF1a-S	"(746.3333333333334, 764)"	
4965	21359	17	106	9	4965 - 21359	16394						in-frame-fusion-orf	ORF1a-ORF1b	"(1566.6666666666667, 64.33333333333333)"	
3903	14131	17	106	9	3903 - 14131	10228						frameshift-fusion-orf	ORF1a-ORF1b	"(1212.6666666666667, 1239)"	
3904	11105	17	106	9	3904 - 11105	7201						frameshift-fusion-orf	ORF1a-ORF1a	"(1213.0, 1225)"	
4965	20594	17	106	9	4965 - 20594	15629						in-frame-fusion-orf	ORF1a-ORF1b	"(1566.6666666666667, 319.3333333333333)"	
383	7671	17	106	9	383 - 7671	7288						frameshift-fusion-orf	ORF1a-ORF1a	"(39.333333333333336, 51)"	
2819	12160	17	106	9	2819 - 12160	9341						frameshift-fusion-orf	ORF1a-ORF1a	"(851.3333333333334, 855)"	
4297	20043	17	106	9	4297 - 20043	15746						in-frame-fusion-orf	ORF1a-ORF1b	"(1344.0, 503.0)"	
5930	11287	17	106	9	5930 - 11287	5357						frameshift-fusion-orf	ORF1a-ORF1a	"(1888.3333333333333, 1891)"	
2185	15193	17	106	9	2185 - 15193	13008						frameshift-fusion-orf	ORF1a-ORF1b	"(640.0, 642)"	
3200	12519	17	106	9	3200 - 12519	9319						frameshift-fusion-orf	ORF1a-ORF1a	"(978.3333333333334, 995)"	
14284	28391	17	106	9	14284 - 28391	14107						in-frame-fusion-orf	ORF1b-N	"(272.3333333333333, 380.6666666666667)"	
3200	14090	17	106	9	3200 - 14090	10890						frameshift-fusion-orf	ORF1a-ORF1b	"(978.3333333333334, 995)"	
3200	14882	17	106	9	3200 - 14882	11682						frameshift-fusion-orf	ORF1a-ORF1b	"(978.3333333333334, 995)"	
2536	28994	17	106	9	2536 - 28994	26458						frameshift-fusion-orf	ORF1a-N	"(757.0, 786)"	
14284	28388	17	106	9	14284 - 28388	14104						in-frame-fusion-orf	ORF1b-N	"(272.3333333333333, 381.6666666666667)"	
4297	25412	17	106	9	4297 - 25412	21115						frameshift-fusion-orf	ORF1a-ORF3a	"(1344.0, 1355)"	
14284	26060	17	106	9	14284 - 26060	11776						frameshift-fusion-orf	ORF1b-ORF3a	"(272.3333333333333, 308)"	
3417	17960	17	106	9	3417 - 17960	14543						in-frame-fusion-orf	ORF1a-ORF1b	"(1050.6666666666667, 1197.3333333333333)"	
1814	19901	17	106	9	1814 - 19901	18087						frameshift-fusion-orf	ORF1a-ORF1b	"(516.3333333333334, 526)"	
3419	17641	17	106	9	3419 - 17641	14222						in-frame-fusion-orf	ORF1a-ORF1b	"(1051.3333333333333, 1303.6666666666667)"	
5075	11287	17	106	9	5075 - 11287	6212						frameshift-fusion-orf	ORF1a-ORF1a	"(1603.3333333333333, 1606)"	
813	18788	17	106	9	813 - 18788	17975						in-frame-fusion-orf	ORF1a-ORF1b	"(182.66666666666666, 921.3333333333334)"	
16443	27610	17	106	9	16443 - 27610	11167						frameshift-fusion-orf	ORF1b-ORF7a	"(992.0, 1026)"	
3202	9794	17	106	9	3202 - 9794	6592						frameshift-fusion-orf	ORF1a-ORF1a	"(979.0, 987)"	
12806	27589	17	106	9	12806 - 27589	14783						in-frame-fusion-orf	ORF1a-ORF7a	"(4180.333333333333, 56.666666666666664)"	
2504	23536	17	106	9	2504 - 23536	21032						frameshift-fusion-orf	ORF1a-S	"(746.3333333333334, 748)"	
16833	28866	17	106	9	16833 - 28866	12033						frameshift-fusion-orf	ORF1b-N	"(1122.0, 1126)"	
16833	28391	17	106	9	16833 - 28391	11558						frameshift-fusion-orf	ORF1b-N	"(1122.0, 1183)"	
3903	24520	17	106	9	3903 - 24520	20617						frameshift-fusion-orf	ORF1a-S	"(1212.6666666666667, 1222)"	
282	13316	17	106	9	282 - 13316	13034						frameshift-fusion-orf	ORF1a-ORF1a	"(5.666666666666667, 12)"	
16833	27925	17	106	9	16833 - 27925	11092						frameshift-fusion-orf	ORF1b-ORF8	"(1122.0, 1131)"	
12971	28883	17	106	9	12971 - 28883	15912						in-frame-fusion-orf	ORF1a-N	"(4235.333333333333, 216.66666666666666)"	
3067	11995	17	106	9	3067 - 11995	8928						in-frame-fusion-orf	ORF1a-ORF1a	"(934.0, 490.6666666666667)"	
2504	27610	17	106	9	2504 - 27610	25106						in-frame-fusion-orf	ORF1a-ORF7a	"(746.3333333333334, 49.666666666666664)"	
2504	14666	17	106	9	2504 - 14666	12162						frameshift-fusion-orf	ORF1a-ORF1b	"(746.3333333333334, 774)"	
21408	28871	17	106	9	21408 - 28871	7463						frameshift-fusion-orf	ORF1b-N	"(2647.0, 2674)"	
2504	23533	17	106	9	2504 - 23533	21029						frameshift-fusion-orf	ORF1a-S	"(746.3333333333334, 749)"	
11398	18100	17	106	9	11398 - 18100	6702						frameshift-fusion-orf	ORF1a-ORF1b	"(3711.0, 3739)"	
14743	28875	17	106	9	14743 - 28875	14132						frameshift-fusion-orf	ORF1b-N	"(425.3333333333333, 451)"	
10989	28368	17	106	9	10989 - 28368	17379						in-frame-fusion-orf	ORF1a-N	"(3574.6666666666665, 388.3333333333333)"	
16833	23844	17	106	9	16833 - 23844	7011						frameshift-fusion-orf	ORF1b-S	"(1122.0, 1133)"	
2504	29057	17	106	9	2504 - 29057	26553						in-frame-fusion-orf	ORF1a-N	"(746.3333333333334, 158.66666666666666)"	
3192	24135	17	106	9	3192 - 24135	20943						in-frame-fusion-orf	ORF1a-S	"(975.6666666666666, 416.3333333333333)"	
16833	22281	17	106	9	16833 - 22281	5448						frameshift-fusion-orf	ORF1b-S	"(1122.0, 1127)"	
14286	29370	17	106	9	14286 - 29370	15084						frameshift-fusion-orf	ORF1b-N	"(273.0, 275)"	
22642	27928	17	106	9	22642 - 27928	5286						frameshift-fusion-orf	S-ORF8	"(360.0, 368)"	
14746	26325	17	106	9	14746 - 26325	11579						frameshift-fusion-orf	ORF1b-E	"(426.3333333333333, 446)"	
16833	23733	17	106	9	16833 - 23733	6900						frameshift-fusion-orf	ORF1b-S	"(1122.0, 1142)"	
15500	29007	17	106	9	15500 - 29007	13507						in-frame-fusion-orf	ORF1b-N	"(677.6666666666666, 175.33333333333334)"	
2504	29189	17	106	9	2504 - 29189	26685						in-frame-fusion-orf	ORF1a-N	"(746.3333333333334, 114.66666666666667)"	
7221	20051	17	106	9	7221 - 20051	12830						in-frame-fusion-orf	ORF1a-ORF1b	"(2318.6666666666665, 500.3333333333333)"	
2113	28369	17	106	9	2113 - 28369	26256						in-frame-fusion-orf	ORF1a-N	"(616.0, 388.0)"	
3086	17389	17	106	9	3086 - 17389	14303						in-frame-fusion-orf	ORF1a-ORF1b	"(940.3333333333334, 1387.6666666666667)"	
16833	29160	17	106	9	16833 - 29160	12327						frameshift-fusion-orf	ORF1b-N	"(1122.0, 1122)"	
14281	27499	17	106	9	14281 - 27499	13218						in-frame-fusion-orf	ORF1b-ORF7a	"(271.3333333333333, 86.66666666666667)"	
6979	28599	17	106	9	6979 - 28599	21620						frameshift-fusion-orf	ORF1a-N	"(2238.0, 2254)"	
1821	17049	17	106	9	1821 - 17049	15228						frameshift-fusion-orf	ORF1a-ORF1b	"(518.6666666666666, 542)"	
13405	23536	17	106	9	13405 - 23536	10131						in-frame-fusion-orf	ORF1a-S	"(4380.0, 616.0)"	
21520	28681	17	106	9	21520 - 28681	7161						frameshift-fusion-orf	ORF1b-N	"(2684.3333333333335, 2700)"	
6217	18595	17	106	9	6217 - 18595	12378						frameshift-fusion-orf	ORF1a-ORF1b	"(1984.0, 1990)"	
4965	13387	17	106	9	4965 - 13387	8422						frameshift-fusion-orf	ORF1a-ORF1a	"(1566.6666666666667, 1592)"	
14741	23595	17	106	9	14741 - 23595	8854						in-frame-fusion-orf	ORF1b-S	"(424.6666666666667, 596.3333333333334)"	
16833	29171	17	106	9	16833 - 29171	12338						frameshift-fusion-orf	ORF1b-N	"(1122.0, 1153)"	
3481	11019	17	106	9	3481 - 11019	7538						frameshift-fusion-orf	ORF1a-ORF1a	"(1072.0, 1094)"	
2504	18094	17	106	9	2504 - 18094	15590						in-frame-fusion-orf	ORF1a-ORF1b	"(746.3333333333334, 1152.6666666666667)"	
6379	13471	17	106	9	6379 - 13471	7092						frameshift-fusion-orf	ORF1a-ORF1b	"(2038.0, 2041)"	
3479	11550	17	106	9	3479 - 11550	8071						frameshift-fusion-orf	ORF1a-ORF1a	"(1071.3333333333333, 1080)"	
4965	19893	17	106	9	4965 - 19893	14928						frameshift-fusion-orf	ORF1a-ORF1b	"(1566.6666666666667, 1579)"	
14284	26869	17	106	9	14284 - 26869	12585						frameshift-fusion-orf	ORF1b-M	"(272.3333333333333, 285)"	
814	17820	17	106	9	814 - 17820	17006						in-frame-fusion-orf	ORF1a-ORF1b	"(183.0, 1244.0)"	
2817	11288	17	106	9	2817 - 11288	8471						frameshift-fusion-orf	ORF1a-ORF1a	"(850.6666666666666, 853)"	
12802	28968	17	106	9	12802 - 28968	16166						frameshift-fusion-orf	ORF1a-N	"(4179.0, 4183)"	
2504	11882	17	106	9	2504 - 11882	9378						in-frame-fusion-orf	ORF1a-ORF1a	"(746.3333333333334, 528.3333333333334)"	
2504	23410	17	106	9	2504 - 23410	20906						frameshift-fusion-orf	ORF1a-S	"(746.3333333333334, 770)"	
1600	28370	17	106	9	1600 - 28370	26770						frameshift-fusion-orf	ORF1a-N	"(445.0, 513)"	
16833	28419	17	106	9	16833 - 28419	11586						frameshift-fusion-orf	ORF1b-N	"(1122.0, 1137)"	
4964	29178	17	106	9	4964 - 29178	24214						frameshift-fusion-orf	ORF1a-N	"(1566.3333333333333, 1595)"	
2504	12008	17	106	9	2504 - 12008	9504						in-frame-fusion-orf	ORF1a-ORF1a	"(746.3333333333334, 486.3333333333333)"	
4866	10261	17	106	9	4866 - 10261	5395						frameshift-fusion-orf	ORF1a-ORF1a	"(1533.6666666666667, 1579)"	
13674	27384	17	106	9	13674 - 27384	13710						in-frame-fusion-orf	ORF1b-ORF6	"(69.0, 1.0)"	
14741	27143	17	106	9	14741 - 27143	12402						frameshift-fusion-orf	ORF1b-M	"(424.6666666666667, 441)"	
4298	29000	17	106	9	4298 - 29000	24702						in-frame-fusion-orf	ORF1a-N	"(1344.3333333333333, 177.66666666666666)"	
14741	28391	16	106	9	14741 - 28391	13650						frameshift-fusion-orf	ORF1b-N	"(424.6666666666667, 432)"	
17766	23083	16	106	9	17766 - 23083	5317						in-frame-fusion-orf	ORF1b-S	"(1433.0, 767.0)"	
4963	16095	16	106	9	4963 - 16095	11132						in-frame-fusion-orf	ORF1a-ORF1b	"(1566.0, 1819.0)"	
2504	26577	16	106	9	2504 - 26577	24073						in-frame-fusion-orf	ORF1a-M	"(746.3333333333334, 204.66666666666666)"	
17734	24384	16	106	9	17734 - 24384	6650						frameshift-fusion-orf	ORF1b-S	"(1422.3333333333333, 1440)"	
17764	28212	16	106	9	17764 - 28212	10448						in-frame-fusion-orf	ORF1b-ORF8	"(1432.3333333333333, 15.666666666666666)"	
2291	13598	16	106	9	2291 - 13598	11307						frameshift-fusion-orf	ORF1a-ORF1b	"(675.3333333333334, 687)"	
8856	21355	16	106	9	8856 - 21355	12499						frameshift-fusion-orf	ORF1a-ORF1b	"(2863.6666666666665, 2876)"	
4964	16604	16	106	9	4964 - 16604	11640						frameshift-fusion-orf	ORF1a-ORF1b	"(1566.3333333333333, 1630)"	
4965	23647	16	106	9	4965 - 23647	18682						frameshift-fusion-orf	ORF1a-S	"(1566.6666666666667, 1602)"	
541	23300	16	106	9	541 - 23300	22759						frameshift-fusion-orf	ORF1a-S	"(92.0, 110)"	
4965	26201	16	106	9	4965 - 26201	21236						in-frame-fusion-orf	ORF1a-ORF3a	"(1566.6666666666667, 6.333333333333333)"	
16897	23948	16	106	9	16897 - 23948	7051						in-frame-fusion-orf	ORF1b-S	"(1143.3333333333333, 478.6666666666667)"	
2504	22295	16	106	9	2504 - 22295	19791						in-frame-fusion-orf	ORF1a-S	"(746.3333333333334, 1029.6666666666667)"	
16833	27998	16	106	9	16833 - 27998	11165						in-frame-fusion-orf	ORF1b-ORF8	"(1122.0, 87.0)"	
12802	21448	16	106	9	12802 - 21448	8646						frameshift-fusion-orf	ORF1a-ORF1b	"(4179.0, 4185)"	
12333	23690	16	106	9	12333 - 23690	11357						frameshift-fusion-orf	ORF1a-S	"(4022.6666666666665, 4033)"	
12802	28875	16	106	9	12802 - 28875	16073						frameshift-fusion-orf	ORF1a-N	"(4179.0, 4180)"	
16833	27925	16	106	9	16833 - 27925	11092						frameshift-fusion-orf	ORF1b-ORF8	"(1122.0, 1131)"	
12805	19955	16	106	9	12805 - 19955	7150						frameshift-fusion-orf	ORF1a-ORF1b	"(4180.0, 4180)"	
12805	26815	16	106	9	12805 - 26815	14010						frameshift-fusion-orf	ORF1a-M	"(4180.0, 4198)"	
12805	28232	16	106	9	12805 - 28232	15427						in-frame-fusion-orf	ORF1a-ORF8	"(4180.0, 9.0)"	
12805	28724	16	106	9	12805 - 28724	15919						frameshift-fusion-orf	ORF1a-N	"(4180.0, 4256)"	
2813	26060	16	106	9	2813 - 26060	23247						frameshift-fusion-orf	ORF1a-ORF3a	"(849.3333333333334, 885)"	
813	23009	16	106	9	813 - 23009	22196						frameshift-fusion-orf	ORF1a-S	"(182.66666666666666, 183)"	
1595	16550	16	106	9	1595 - 16550	14955						frameshift-fusion-orf	ORF1a-ORF1b	"(443.3333333333333, 460)"	
952	10820	16	106	9	952 - 10820	9868						frameshift-fusion-orf	ORF1a-ORF1a	"(229.0, 235)"	
1434	28370	16	106	9	1434 - 28370	26936						frameshift-fusion-orf	ORF1a-N	"(389.6666666666667, 404)"	
1142	29112	16	106	9	1142 - 29112	27970						frameshift-fusion-orf	ORF1a-N	"(292.3333333333333, 303)"	
11394	22319	16	106	9	11394 - 22319	10925						frameshift-fusion-orf	ORF1a-S	"(3709.6666666666665, 3729)"	
1137	12182	16	106	9	1137 - 12182	11045						frameshift-fusion-orf	ORF1a-ORF1a	"(290.6666666666667, 291)"	
1014	27592	16	106	9	1014 - 27592	26578						frameshift-fusion-orf	ORF1a-ORF7a	"(249.66666666666666, 251)"	
955	26071	16	106	9	955 - 26071	25116						frameshift-fusion-orf	ORF1a-ORF3a	"(230.0, 262)"	
1650	14263	16	106	9	1650 - 14263	12613						frameshift-fusion-orf	ORF1a-ORF1b	"(461.6666666666667, 470)"	
16833	29358	16	106	9	16833 - 29358	12525						frameshift-fusion-orf	ORF1b-N	"(1122.0, 1128)"	
11396	26071	16	106	9	11396 - 26071	14675						in-frame-fusion-orf	ORF1a-ORF3a	"(3710.3333333333335, 49.666666666666664)"	
16833	29366	16	106	9	16833 - 29366	12533						frameshift-fusion-orf	ORF1b-N	"(1122.0, 1149)"	
12005	23882	16	106	9	12005 - 23882	11877						in-frame-fusion-orf	ORF1a-S	"(3913.3333333333335, 500.6666666666667)"	
12281	19490	16	106	9	12281 - 19490	7209						frameshift-fusion-orf	ORF1a-ORF1b	"(4005.3333333333335, 4021)"	
4965	20034	16	106	9	4965 - 20034	15069						frameshift-fusion-orf	ORF1a-ORF1b	"(1566.6666666666667, 1583)"	
442	6704	16	106	9	442 - 6704	6262						frameshift-fusion-orf	ORF1a-ORF1a	"(59.0, 68)"	
3068	12783	16	106	9	3068 - 12783	9715						frameshift-fusion-orf	ORF1a-ORF1a	"(934.3333333333334, 952)"	
3074	13415	16	106	9	3074 - 13415	10341						in-frame-fusion-orf	ORF1a-ORF1a	"(936.3333333333334, 17.333333333333332)"	
12803	28095	16	106	9	12803 - 28095	15292						in-frame-fusion-orf	ORF1a-ORF8	"(4179.333333333333, 54.666666666666664)"	
11396	23123	16	106	9	11396 - 23123	11727						in-frame-fusion-orf	ORF1a-S	"(3710.3333333333335, 753.6666666666666)"	
3200	27868	16	106	9	3200 - 27868	24668						frameshift-fusion-orf	ORF1a-ORF7b	"(978.3333333333334, 987)"	
3068	12020	16	106	9	3068 - 12020	8952						in-frame-fusion-orf	ORF1a-ORF1a	"(934.3333333333334, 482.3333333333333)"	
22634	29666	16	106	9	22634 - 29666	7032						C-term-trunc-and-extension-by-UTR	S	"(357.3333333333333, 359)"	
4295	17123	16	106	9	4295 - 17123	12828						frameshift-fusion-orf	ORF1a-ORF1b	"(1343.3333333333333, 1351)"	
22501	27565	16	106	9	22501 - 27565	5064						frameshift-fusion-orf	S-ORF7a	"(313.0, 326)"	
22640	28364	16	106	9	22640 - 28364	5724						in-frame-fusion-orf	S-N	"(359.3333333333333, 389.6666666666667)"	
12805	23625	16	106	9	12805 - 23625	10820						frameshift-fusion-orf	ORF1a-S	"(4180.0, 4180)"	
2536	28434	16	106	9	2536 - 28434	25898						frameshift-fusion-orf	ORF1a-N	"(757.0, 767)"	
2534	13759	16	106	9	2534 - 13759	11225						in-frame-fusion-orf	ORF1a-ORF1b	"(756.3333333333334, 2597.6666666666665)"	
14741	29085	16	106	9	14741 - 29085	14344						in-frame-fusion-orf	ORF1b-N	"(424.6666666666667, 149.33333333333334)"	
4865	23353	16	106	9	4865 - 23353	18488						frameshift-fusion-orf	ORF1a-S	"(1533.3333333333333, 1541)"	
3901	11988	16	106	9	3901 - 11988	8087						frameshift-fusion-orf	ORF1a-ORF1a	"(1212.0, 1212)"	
3202	9035	16	106	9	3202 - 9035	5833						frameshift-fusion-orf	ORF1a-ORF1a	"(979.0, 994)"	
6220	18332	16	106	9	6220 - 18332	12112						frameshift-fusion-orf	ORF1a-ORF1b	"(1985.0, 2002)"	
3419	28191	16	106	9	3419 - 28191	24772						in-frame-fusion-orf	ORF1a-ORF8	"(1051.3333333333333, 22.666666666666668)"	
4965	15153	16	106	9	4965 - 15153	10188						frameshift-fusion-orf	ORF1a-ORF1b	"(1566.6666666666667, 1571)"	
4964	15176	16	106	9	4964 - 15176	10212						frameshift-fusion-orf	ORF1a-ORF1b	"(1566.3333333333333, 1574)"	
3902	20181	16	106	9	3902 - 20181	16279						frameshift-fusion-orf	ORF1a-ORF1b	"(1212.3333333333333, 1215)"	
3092	14819	16	106	9	3092 - 14819	11727						frameshift-fusion-orf	ORF1a-ORF1b	"(942.3333333333334, 954)"	
6653	28724	16	106	9	6653 - 28724	22071						in-frame-fusion-orf	ORF1a-N	"(2129.3333333333335, 269.6666666666667)"	
4965	23718	16	106	9	4965 - 23718	18753						in-frame-fusion-orf	ORF1a-S	"(1566.6666666666667, 555.3333333333334)"	
4965	25114	16	106	9	4965 - 25114	20149						frameshift-fusion-orf	ORF1a-S	"(1566.6666666666667, 1575)"	
3064	18219	16	106	9	3064 - 18219	15155						in-frame-fusion-orf	ORF1a-ORF1b	"(933.0, 1111.0)"	
3064	11191	16	106	9	3064 - 11191	8127						in-frame-fusion-orf	ORF1a-ORF1a	"(933.0, 758.6666666666666)"	
16833	26091	16	106	9	16833 - 26091	9258						in-frame-fusion-orf	ORF1b-ORF3a	"(1122.0, 43.0)"	
3962	23075	16	106	9	3962 - 23075	19113						in-frame-fusion-orf	ORF1a-S	"(1232.3333333333333, 769.6666666666666)"	
16833	27149	16	106	9	16833 - 27149	10316						in-frame-fusion-orf	ORF1b-M	"(1122.0, 14.0)"	
2504	29370	16	106	9	2504 - 29370	26866						frameshift-fusion-orf	ORF1a-N	"(746.3333333333334, 772)"	
18954	29636	16	106	9	18954 - 29636	10682						C-term-trunc-and-extension-by-UTR	ORF1b	"(1829.0, 1829)"	
2504	25373	16	106	9	2504 - 25373	22869						in-frame-fusion-orf	ORF1a-S	"(746.3333333333334, 3.6666666666666665)"	
6379	25435	16	106	9	6379 - 25435	19056						frameshift-fusion-orf	ORF1a-ORF3a	"(2038.0, 2038)"	
6380	19955	16	106	9	6380 - 19955	13575						frameshift-fusion-orf	ORF1a-ORF1b	"(2038.3333333333333, 2057)"	
2286	17408	16	106	9	2286 - 17408	15122						in-frame-fusion-orf	ORF1a-ORF1b	"(673.6666666666666, 1381.3333333333333)"	
2286	13542	16	106	9	2286 - 13542	11256						frameshift-fusion-orf	ORF1a-ORF1b	"(673.6666666666666, 681)"	
2286	12092	16	106	9	2286 - 12092	9806						frameshift-fusion-orf	ORF1a-ORF1a	"(673.6666666666666, 679)"	
3068	28797	16	106	9	3068 - 28797	25729						frameshift-fusion-orf	ORF1a-N	"(934.3333333333334, 986)"	
4362	15557	16	106	9	4362 - 15557	11195						in-frame-fusion-orf	ORF1a-ORF1b	"(1365.6666666666667, 1998.3333333333333)"	
2504	29370	16	106	9	2504 - 29370	26866						frameshift-fusion-orf	ORF1a-N	"(746.3333333333334, 772)"	
9836	14877	16	106	9	9836 - 14877	5041						frameshift-fusion-orf	ORF1a-ORF1b	"(3190.3333333333335, 3191)"	
4865	20455	16	106	9	4865 - 20455	15590						in-frame-fusion-orf	ORF1a-ORF1b	"(1533.3333333333333, 365.6666666666667)"	
14282	23650	16	106	9	14282 - 23650	9368						frameshift-fusion-orf	ORF1b-S	"(271.6666666666667, 306)"	
2504	27610	16	106	9	2504 - 27610	25106						in-frame-fusion-orf	ORF1a-ORF7a	"(746.3333333333334, 49.666666666666664)"	
4866	24434	16	106	9	4866 - 24434	19568						frameshift-fusion-orf	ORF1a-S	"(1533.6666666666667, 1539)"	
4868	10996	16	106	9	4868 - 10996	6128						frameshift-fusion-orf	ORF1a-ORF1a	"(1534.3333333333333, 1564)"	
3418	12244	16	106	9	3418 - 12244	8826						in-frame-fusion-orf	ORF1a-ORF1a	"(1051.0, 407.6666666666667)"	
16833	23170	16	106	9	16833 - 23170	6337						in-frame-fusion-orf	ORF1b-S	"(1122.0, 738.0)"	
5930	11287	16	106	9	5930 - 11287	5357						frameshift-fusion-orf	ORF1a-ORF1a	"(1888.3333333333333, 1891)"	
4963	24809	16	106	9	4963 - 24809	19846						frameshift-fusion-orf	ORF1a-S	"(1566.0, 1587)"	
14285	26123	16	106	9	14285 - 26123	11838						in-frame-fusion-orf	ORF1b-ORF3a	"(272.6666666666667, 32.333333333333336)"	
21362	28083	16	106	9	21362 - 28083	6721						frameshift-fusion-orf	ORF1b-ORF8	"(2631.6666666666665, 2635)"	
16749	26817	16	106	9	16749 - 26817	10068						frameshift-fusion-orf	ORF1b-M	"(1094.0, 1124)"	
14743	20024	16	106	9	14743 - 20024	5281						frameshift-fusion-orf	ORF1b-ORF1b	"(425.3333333333333, 445)"	
3086	14434	16	106	9	3086 - 14434	11348						in-frame-fusion-orf	ORF1a-ORF1b	"(940.3333333333334, 2372.6666666666665)"	
3200	29263	16	106	9	3200 - 29263	26063						frameshift-fusion-orf	ORF1a-N	"(978.3333333333334, 988)"	
14741	28391	16	106	9	14741 - 28391	13650						frameshift-fusion-orf	ORF1b-N	"(424.6666666666667, 432)"	
16833	23300	16	106	9	16833 - 23300	6467						frameshift-fusion-orf	ORF1b-S	"(1122.0, 1140)"	
2504	22269	16	106	9	2504 - 22269	19765						frameshift-fusion-orf	ORF1a-S	"(746.3333333333334, 759)"	
14286	19955	16	106	9	14286 - 19955	5669						frameshift-fusion-orf	ORF1b-ORF1b	"(273.0, 273)"	
2504	12403	16	106	9	2504 - 12403	9899						frameshift-fusion-orf	ORF1a-ORF1a	"(746.3333333333334, 777)"	
16833	23367	16	106	9	16833 - 23367	6534						frameshift-fusion-orf	ORF1b-S	"(1122.0, 1125)"	
14743	23747	16	106	9	14743 - 23747	9004						in-frame-fusion-orf	ORF1b-S	"(425.3333333333333, 545.6666666666666)"	
22257	28781	16	106	9	22257 - 28781	6524						frameshift-fusion-orf	S-N	"(231.66666666666666, 251)"	
14280	24684	16	106	9	14280 - 24684	10404						frameshift-fusion-orf	ORF1b-S	"(271.0, 313)"	
15299	29632	16	106	9	15299 - 29632	14333						C-term-trunc-and-extension-by-UTR	ORF1b	"(610.6666666666666, 612)"	
16751	26119	16	106	9	16751 - 26119	9368						frameshift-fusion-orf	ORF1b-ORF3a	"(1094.6666666666667, 1108)"	
16833	29057	16	106	9	16833 - 29057	12224						frameshift-fusion-orf	ORF1b-N	"(1122.0, 1130)"	
22642	28059	16	106	9	22642 - 28059	5417						frameshift-fusion-orf	S-ORF8	"(360.0, 361)"	
2504	17074	16	106	9	2504 - 17074	14570						in-frame-fusion-orf	ORF1a-ORF1b	"(746.3333333333334, 1492.6666666666667)"	
16833	23912	16	106	9	16833 - 23912	7079						frameshift-fusion-orf	ORF1b-S	"(1122.0, 1164)"	
2288	24577	16	106	9	2288 - 24577	22289						frameshift-fusion-orf	ORF1a-S	"(674.3333333333334, 682)"	
14284	23533	16	106	9	14284 - 23533	9249						frameshift-fusion-orf	ORF1b-S	"(272.3333333333333, 275)"	
3945	28883	16	106	9	3945 - 28883	24938						frameshift-fusion-orf	ORF1a-N	"(1226.6666666666667, 1231)"	
278	17027	16	106	9	278 - 17027	16749						frameshift-fusion-orf	ORF1a-ORF1b	"(4.333333333333333, 35)"	
13405	25433	16	106	9	13405 - 25433	12028						frameshift-fusion-orf	ORF1a-ORF3a	"(4380.0, 4384)"	
16833	29114	16	106	9	16833 - 29114	12281						frameshift-fusion-orf	ORF1b-N	"(1122.0, 1132)"	
15010	27658	16	106	9	15010 - 27658	12648						in-frame-fusion-orf	ORF1b-ORF7a	"(514.3333333333334, 33.666666666666664)"	
15789	26709	16	106	9	15789 - 26709	10920						frameshift-fusion-orf	ORF1b-M	"(774.0, 784)"	
16833	26902	16	106	9	16833 - 26902	10069						frameshift-fusion-orf	ORF1b-M	"(1122.0, 1131)"	
8955	28253	16	106	9	8955 - 28253	19298						frameshift-fusion-orf	ORF1a-ORF8	"(2896.6666666666665, 2896)"	
16833	23692	16	106	9	16833 - 23692	6859						in-frame-fusion-orf	ORF1b-S	"(1122.0, 564.0)"	
11394	18170	16	106	9	11394 - 18170	6776						in-frame-fusion-orf	ORF1a-ORF1b	"(3709.6666666666665, 1127.3333333333333)"	
9279	23403	16	106	9	9279 - 23403	14124						in-frame-fusion-orf	ORF1a-S	"(3004.6666666666665, 660.3333333333334)"	
2504	7860	16	106	9	2504 - 7860	5356						frameshift-fusion-orf	ORF1a-ORF1a	"(746.3333333333334, 755)"	
2504	29013	16	106	9	2504 - 29013	26509						frameshift-fusion-orf	ORF1a-N	"(746.3333333333334, 769)"	
15010	24788	16	106	9	15010 - 24788	9778						in-frame-fusion-orf	ORF1b-S	"(514.3333333333334, 198.66666666666666)"	
9198	22995	16	106	9	9198 - 22995	13797						in-frame-fusion-orf	ORF1a-S	"(2977.6666666666665, 796.3333333333334)"	
5974	16834	16	106	9	5974 - 16834	10860						frameshift-fusion-orf	ORF1a-ORF1b	"(1903.0, 1922)"	
16833	26022	16	106	9	16833 - 26022	9189						in-frame-fusion-orf	ORF1b-ORF3a	"(1122.0, 66.0)"	
14740	27774	16	106	9	14740 - 27774	13034						in-frame-fusion-orf	ORF1b-ORF7b	"(424.3333333333333, 37.666666666666664)"	
15299	29057	16	106	9	15299 - 29057	13758						frameshift-fusion-orf	ORF1b-N	"(610.6666666666666, 614)"	
16833	29013	16	106	9	16833 - 29013	12180						frameshift-fusion-orf	ORF1b-N	"(1122.0, 1122)"	
6373	14680	16	106	9	6373 - 14680	8307						frameshift-fusion-orf	ORF1a-ORF1b	"(2036.0, 2059)"	
14284	25487	16	106	9	14284 - 25487	11203						frameshift-fusion-orf	ORF1b-ORF3a	"(272.3333333333333, 303)"	
